Gen;BOKU_1;BOKU_2;BOKU_3;BOKU_4;SKG-I_1;SKG-I_2;SKG-I_3;SKG-I_4
302;1.873,47700;2.014,99500;2.175,75600;2.239,09200;857,36210;952,98020;1.116,64700;1.088,16100
303;395,48680;489,07000;1.114,68000;859,15420;96,67257;113,19520;257,86350;196,81150
304;83,46729;67,64169;111,21260;41,59866;63,76431;50,11671;44,29550;44,77579
305;18,24266;12,49597;9,15658;4,15511;15,95333;8,29717;30,51994;33,84892
306;14.355,56000;14.759,93000;11.643,94000;13.569,82000;7.957,67100;8.396,75500;7.907,49000;8.147,91300
307;56,06167;71,93182;66,81595;95,08166;27,18908;43,75161;47,75864;60,09421
308;56,99070;62,10789;54,55212;10,79935;47,19275;36,69040;27,99526;43,27648
309;67,16386;61,51508;97,33072;60,52859;100,88220;106,81380;67,30170;90,28120
310;2,20107;4,27942;2,87344;5,95340;6,24299;19,68959;20,20025;9,86064
311;3.028,26300;3.005,52000;5.587,94700;5.589,13300;3.402,40100;3.611,38800;2.882,27900;3.108,45500
312;2.006,76900;2.054,77300;1.143,85100;1.060,75500;2.786,07600;2.770,04400;1.835,00900;1.956,99100
313;10,82208;6,99770;7,30064;2,80536;3,92621;4,67933;3,20334;2,03298
314;19,39788;31,42231;27,19972;13,23234;18,95832;8,01810;15,78052;11,82649
315;343,39140;304,95070;254,57570;302,72480;404,78610;461,74560;346,24630;338,26230
316;602,80990;654,06370;698,04470;671,01190;636,94620;697,94620;481,56180;678,77090
317;55,10613;26,92764;75,30564;62,57654;48,51650;76,25992;82,45080;54,29097
318;5,03673;24,28465;14,21731;2,80504;16,41629;15,41026;7,02717;26,12899
319;31,94182;53,58225;49,84275;63,00670;25,60344;37,47461;14,29040;11,28644
320;48,35200;32,12645;40,61754;28,14506;1,35563;1,15843;1,70565;23,09276
321;4.011,58400;3.454,96300;3.418,15900;3.039,65400;4.219,52100;4.465,80500;3.214,73900;2.839,96500
322;16,30028;25,48018;9,81649;6,13431;1.487,18400;1.521,53600;452,09050;507,36800
323;862,60130;948,34990;704,95030;721,37260;669,04440;614,77360;542,94390;569,43020
324;567,03990;400,39820;792,48300;674,48640;684,54980;597,39130;1.025,71500;1.028,87800
325;152,17760;170,52910;166,28110;199,79820;247,02520;242,91990;239,01400;227,70760
326;3,31320;4,94828;34,70831;3,65362;9,87500;6,48521;1,98406;21,70340
327;1.741,45700;1.737,34900;2.582,27300;2.413,00800;2.374,12000;2.400,09700;2.973,38800;3.040,90000
328;189,63270;209,72120;115,13790;95,56461;147,45770;161,22050;108,36890;110,40900
329;4,57659;4,35185;3,73327;2,42974;1,81595;1,79096;2,23370;1,45839
330;5,42845;8,61398;2,34931;9,60422;4,59526;2,23834;5,19141;1,55566
331;18,67456;42,71178;15,98999;31,02233;16,27308;6,82349;34,01194;25,56080
332;23,88022;47,69814;8,50404;33,50968;3,49119;15,52208;5,51726;13,72077
333;811,25350;719,82800;716,61460;583,62420;18,86547;21,66562;15,40336;14,56978
334;127,00820;100,16350;126,03790;114,72140;113,59080;139,72810;50,65503;140,26540
335;208,54730;238,00910;270,30100;384,13570;251,06350;233,72510;271,08320;334,32680
336;46,20372;47,06289;52,55392;56,36338;9,00443;4,82107;27,28833;21,44561
337;5,20156;8,69796;1,89970;13,37352;4,11796;7,57020;1,00088;1,84382
338;23,15261;18,06623;1,75869;49,11109;11,71993;10,53142;9,91712;6,09503
339;1.542,51900;1.938,92000;1.367,29700;1.377,11800;1.172,69200;1.091,77800;1.009,76000;971,96820
340;16,38440;11,14053;39,50359;24,48874;13,00453;19,04848;17,99835;21,88254
341;2,27250;8,08652;1,81476;3,14979;3,78295;1,57142;2,12642;1,43875
342;4,57767;16,79018;4,31164;7,51298;3,94135;1,03278;3,12158;2,84376
343;36,84128;9,24157;21,21726;28,36132;81,74561;67,86726;129,35760;143,23370
344;42,49493;40,78714;57,25320;51,55462;68,92674;54,88197;34,03397;62,84471
345;2.375,67300;2.021,22500;2.398,92100;2.027,80100;1.030,69600;1.070,37000;1.093,55200;989,45400
346;5,75898;2,04197;14,74841;13,43597;43,33556;4,12677;16,06022;27,90812
347;703,01960;658,90560;940,57690;887,97250;1.497,69200;1.510,69300;1.340,96500;1.420,43100
348;1,44901;4,57800;13,80520;12,79223;24,85138;37,25579;36,79793;25,90803
349;359,97820;375,84380;335,53500;301,14470;353,45950;388,22940;323,65400;280,03530
350;18,36373;26,05254;22,33432;30,48800;26,25316;16,31731;7,40685;20,55716
351;10,57494;36,14547;47,40944;62,90054;163,87140;160,48740;121,62490;114,83950
352;374,19170;420,50290;842,23850;730,05030;281,58180;225,74610;396,42230;428,31200
353;1.481,43800;1.420,49800;1.834,39800;1.837,31800;29,54512;3,41042;15,57574;14,16901
354;5,49936;6,22636;4,86122;6,50124;7,71896;15,45766;14,48676;10,24544
355;116,75170;110,97990;75,97965;84,13829;134,15980;175,81260;115,52210;122,50450
356;538,87900;580,51220;339,04810;424,60130;475,60330;539,10240;289,03740;246,41400
357;2,93316;42,84572;41,63587;30,88584;16,23173;6,33425;42,76623;33,27398
358;332,28960;311,51090;564,87740;321,45050;349,87310;401,23240;542,39860;419,88980
359;21,77770;6,57695;25,02283;10,32041;16,27300;16,50013;40,33989;18,25820
360;15,03796;22,11515;14,19858;2,41317;14,43872;17,43254;18,02485;1,21076
361;4,35774;24,63625;33,60380;1,00000;4,64159;26,63128;15,69237;7,82831
362;17,16122;58,39159;4,34036;53,75547;71,79608;14,62872;77,13581;52,42949
363;11,58064;16,44439;10,26587;23,53167;4,05167;13,00893;17,27769;8,28871
364;552,78240;550,97500;501,82700;470,77550;311,48390;282,22550;326,66850;285,41210
365;14,50278;2,05785;11,33587;15,95018;9,60997;12,52226;10,97534;24,11234
366;126,05280;120,54790;99,40916;85,62186;134,25620;111,40920;92,40334;148,28290
367;14,09074;18,07136;2,54382;2,14925;12,57074;2,50266;30,38223;9,82780
368;36,30213;55,62161;8,11885;21,22332;27,75688;4,43845;30,88380;9,73404
369;3,73213;14,81034;1,00000;15,48400;12,92029;9,03667;2,81370;1,00000
370;7,66162;25,24160;2,72854;34,01239;10,30074;7,96104;3,74966;8,07823
371;32,48661;16,66744;3,83511;1,67432;19,43506;22,13188;9,50072;48,57013
372;29,26355;49,89729;11,15219;1,66966;58,55570;34,52364;157,56540;148,38320
373;3,05764;4,76551;7,08448;14,51292;6,52491;5,54867;8,92498;4,58618
374;51,19543;21,98884;47,09947;6,21048;44,34274;34,75266;41,32693;39,66135
375;40,63324;34,34037;63,88952;52,04632;61,88332;66,42506;146,52780;78,10070
376;230,38640;245,97300;236,33360;215,19150;240,20900;325,71260;449,13320;317,44980
377;15,72642;14,21162;19,16646;1,89940;3.197,99800;3.310,87800;22.413,99000;20.076,50000
378;469,92080;485,02540;700,72010;719,75700;365,40860;307,31700;519,31960;427,35960
379;193,82420;230,97080;276,95270;298,65330;50,50966;19,53442;147,25970;75,50648
380;27,68523;13,74395;87,57723;70,55627;78,75295;59,16301;82,84479;69,61605
381;9,44061;13,00309;44,86899;43,01267;42,21335;20,59811;56,20582;8,28516
382;58,75762;104,15540;190,98400;163,75770;177,74730;191,30990;439,30920;444,94760
383;256,68920;218,20050;290,67610;229,27430;772,42240;740,76760;1.150,21500;1.234,44800
384;362,83770;420,91370;313,78350;347,87400;527,73270;515,78500;415,83440;427,18530
385;46,54929;64,93005;106,95560;108,76000;173,74990;124,01420;105,58760;117,77320
386;2,96321;3,70155;4,40068;5,30682;3,89055;6,17277;4,18743;2,34889
387;3,94713;11,12898;8,41739;5,64306;56,79123;25,82838;40,04484;22,03770
388;4,47451;23,07201;6,95693;16,91287;5,78487;5,60697;37,73142;21,55829
389;120,89040;78,79466;176,76150;149,43340;131,88020;169,33970;196,37630;189,79750
390;37,02639;37,13832;85,30625;71,26406;36,63894;18,13098;36,28480;49,59028
391;3,09074;5,10234;4,15542;3,99977;3,32647;2,50966;2,61099;1,98708
392;1,93948;4,02536;4,61397;6,37692;3,53585;1,39180;2,20350;3,57351
393;21,55791;74,73825;16,66042;9,95497;9,03928;3,17348;8,22511;36,25922
394;57,68919;41,74245;28,35688;41,65872;22,61440;11,93293;154,21830;132,41880
395;152,67530;145,09650;184,96130;195,02340;503,65080;497,58980;740,92600;754,72360
396;10,13459;9,88110;10,01079;6,22136;6,88307;8,16733;8,16684;4,31692
397;4,51150;6,68361;2,28249;32,14060;19,03314;15,17162;19,39417;20,61219
398;367,36860;278,04680;312,96070;295,52580;454,90880;448,65460;423,63420;469,56650
399;133,09470;26,96016;22,68436;135,62550;108,68210;142,42580;62,92608;199,79430
400;17,84396;15,63046;8,36824;83,65608;14,81395;4,60646;46,02293;15,06826
401;36,04791;53,35312;38,93645;89,03243;61,31443;68,87885;62,47667;71,38837
402;1.873,93400;1.871,58100;1.526,85900;1.765,48300;1.767,31100;1.764,90500;1.336,73600;1.179,01600
403;558,13030;601,99880;1.047,71600;951,75850;909,85520;806,12560;734,61830;792,19820
404;964,15230;970,09340;1.078,09700;1.397,19600;416,64840;306,49440;379,42340;388,95150
405;4.159,83600;4.011,79600;5.376,97100;3.940,01600;3.870,32100;3.642,57000;3.860,93000;3.540,53300
406;427,08520;230,32430;620,63890;598,59020;725,37690;600,00770;746,24250;829,57340
407;87,00882;32,63522;46,29276;66,30236;19,07095;3,88984;28,59523;19,83158
408;280,88290;291,64990;294,52780;357,79140;395,41840;410,70600;302,99310;238,04010
409;6,27801;4,53309;3,02369;7,30837;4,00496;1,84713;1,63718;7,44724
410;5,58549;4,97471;2,83125;5,20047;10,55485;2,71312;12,04502;1,12180
411;18,57801;14,08312;2,74807;19,99368;27,81794;31,60498;74,53697;62,20324
412;143,90150;93,45230;115,16410;134,16150;289,67520;228,22450;200,70460;188,63580
413;182,36530;175,41180;150,41710;200,35480;187,60690;183,76790;164,06560;209,07470
414;207,05570;245,59740;186,55100;285,36960;360,72500;342,80140;115,74970;188,56150
415;531,12000;563,27640;775,93820;894,70420;328,11490;383,17490;669,32240;655,46830
416;17,61657;3,13710;4,40276;6,00404;3,96620;2,36858;5,62412;8,82275
417;51,66549;16,83148;13,86020;15,37507;26,73016;5,67591;54,05711;34,01353
418;18.528,80000;18.233,01000;20.633,13000;27.853,71000;19.103,42000;19.954,69000;24.239,08000;23.041,26000
419;1,87590;1,18222;4,41472;18,25799;3,52895;1,23996;3,24004;3,56821
420;1.250,06000;1.206,25500;646,12530;566,21480;848,61950;726,51060;958,74250;1.005,99300
421;1.970,16900;2.038,06600;2.517,14400;2.608,80800;3.136,00800;2.713,50000;3.849,92300;3.910,73900
422;36,41914;7,69721;34,91769;3,01622;6,84528;1,94823;3,43902;1,78378
423;3,90110;4,78631;2,01694;4,76105;6,16556;4,22332;7,18659;4,55682
424;5,30156;37,71563;31,32986;54,08412;40,34681;20,17124;29,99128;39,37368
425;51,99074;35,48291;63,17776;20,66065;65,67673;37,14825;43,29297;30,99747
426;207,05410;225,03680;211,35810;252,52240;805,23100;822,25020;545,70200;500,26000
427;17.667,36000;17.972,52000;11.022,41000;12.242,60000;1.858,13200;1.754,53800;2.229,70100;2.397,67000
428;13.680,87000;16.545,68000;11.788,68000;15.542,10000;10.722,84000;11.420,38000;11.330,90000;10.428,50000
429;4.278,45300;4.687,54400;3.442,53100;3.705,40400;9.222,66900;9.135,42700;7.757,01800;7.406,27300
430;61,14143;78,25893;4,01575;66,72580;26,46100;45,23171;50,86271;36,18345
431;54,77259;29,30183;41,92511;54,04495;46,19055;22,90257;22,24654;25,10304
432;699,22160;663,15720;713,49400;693,22200;1.464,35500;1.302,72700;1.199,70700;966,05460
433;23,49120;21,86700;25,66977;35,98019;44,53571;35,64612;15,88125;26,74148
434;101,45120;135,18580;164,16050;145,59600;80,37582;111,45080;131,24490;129,07720
435;208,38680;218,90980;292,02570;316,06090;268,37640;306,58210;271,86000;339,92900
436;42,43403;43,46676;26,57015;14,91557;14,59441;18,49253;21,78406;34,32593
437;436,75710;416,64060;564,46080;508,14550;633,86290;625,34830;994,79500;1.217,17600
438;39,89662;67,26053;95,38779;88,46851;46,25618;40,43119;80,73634;46,86158
439;49,62091;20,94036;106,59980;159,42260;32,92900;63,08620;155,96950;117,57940
440;5,50319;14,24724;4,53995;25,43661;41,23378;6,19645;7,95376;2,37020
441;119,64230;178,65080;134,37050;191,27180;87,73790;69,49791;103,79490;148,30130
442;9,10694;41,34377;71,46352;77,03960;51,57543;25,67333;97,05911;76,83975
443;151,54640;136,55990;136,33920;115,02280;96,41708;122,81020;109,52800;170,48920
444;173,19990;139,53480;72,24252;67,22019;18,11094;13,45621;17,54155;8,22368
445;736,83750;604,98260;753,93830;1.126,76300;873,09420;837,77710;1.049,03700;838,80930
446;13,13494;5,85028;5,55168;18,73998;1,64862;5,23694;28,91044;14,13699
447;17,37231;68,71333;49,42244;51,59282;26,68555;41,46582;72,84610;68,05956
448;1.271,28200;1.437,78300;1.485,53700;1.768,04500;781,61950;722,16350;789,36870;844,17210
449;66,59304;47,30080;69,48863;43,73267;79,63494;115,67130;110,48330;111,71720
450;46,27556;74,76714;66,92082;58,92044;69,72806;77,33799;121,10910;84,76303
451;6.052,97900;6.202,83500;4.406,64400;4.645,14800;6.349,78800;6.780,21300;4.775,53300;4.664,97400
452;110,08740;160,64750;136,51950;167,94960;85,75389;76,49585;6,12475;55,70306
453;12,59299;66,11425;46,68235;27,42080;112,13920;70,04718;150,60530;145,07720
454;650,57580;610,67100;746,09100;822,58750;442,17050;375,38500;313,31000;298,08560
455;2,97542;19,31678;14,67620;33,63731;19,20289;43,35415;33,28522;41,37608
456;106,19250;94,78677;179,80870;174,13510;204,51820;258,98300;217,56510;235,18990
457;2.514,80700;2.557,81800;3.929,80600;4.197,59600;3.261,80100;3.308,95300;5.270,32700;5.290,79300
458;3,32135;40,11054;10,31835;4,10342;5,19143;11,17511;5,47034;25,91544
459;465,32360;507,77820;472,08660;397,67450;148,04720;145,54530;90,45924;64,69284
460;257,48590;242,74860;424,43190;475,94600;194,40410;164,15570;312,68050;302,84010
461;74,68607;88,66155;186,81040;261,82470;16,41835;13,32762;29,38229;50,39793
462;2.702,20000;2.807,60200;3.315,43900;3.139,39000;3.882,66900;4.009,36900;3.869,38700;3.595,48400
463;4,99195;2,97760;10,53456;80,63902;664,26310;491,92640;474,64560;415,95530
464;195,42790;203,97800;240,25320;284,98510;271,85330;240,22710;152,94860;188,54310
465;14,38516;5,66512;56,29442;11,70337;34,25421;50,05219;139,16290;102,20140
466;50,34509;47,81990;50,68692;40,47541;46,12085;27,09143;65,65360;59,50679
467;95,02712;112,68380;96,35230;111,38630;219,45860;237,71400;166,52040;130,81510
468;1.548,38300;1.319,72400;1.123,50400;1.066,66100;635,71500;655,33330;593,66120;483,15440
469;85,96762;63,28882;44,58881;83,21194;24,25399;8,91175;26,99489;35,34831
470;2,16140;11,74830;4,60955;28,47782;3,01197;4,53583;4,05648;13,77885
471;857,75780;811,45790;835,37510;868,41110;915,31760;916,79800;797,08810;706,33340
472;7,70498;33,77996;26,26771;51,31779;22,24923;36,57325;40,53512;36,47452
473;1.261,27800;1.188,27900;606,69920;714,63020;757,53660;939,74990;386,68610;322,98910
474;732,51810;652,01210;662,67850;676,56150;1.258,06900;1.355,71700;1.079,54800;1.038,01300
475;2,67211;5,71977;12,06659;3,79651;9,14922;6,20114;4,03438;2,77852
476;10,37904;31,77666;4,91766;1,00000;11,53325;19,67156;11,27389;1,22393
477;1.136,26100;1.245,98100;513,71500;619,71550;791,33610;1.086,52500;558,58170;588,08750
478;1.728,51600;1.790,81400;1.472,45700;1.641,71400;2.246,99600;2.259,94700;1.950,57900;1.997,33700
479;324,97280;244,87110;351,08610;250,24730;52,95453;49,57476;144,97640;154,55590
480;34,01899;25,78970;13,39361;3,25839;15,22934;1,00000;15,11602;2,73850
481;3.480,80300;3.347,30700;3.520,81400;3.622,56400;2.952,17500;2.460,40000;2.831,80100;2.675,35900
482;2,59191;2,50934;74,73389;97,64768;130,38450;147,98440;258,94940;212,39500
483;23,02954;72,82588;20,85844;23,18361;39,01912;43,84250;28,02420;26,40910
484;4,90826;5,09630;4,50877;2,41677;2,59649;4,93081;2,30639;2,82119
485;82,05701;38,50163;74,42522;76,60986;39,14375;35,79023;40,91610;59,07313
486;77,75115;54,85037;101,44520;116,47820;117,55170;135,02220;253,46080;264,51480
487;988,02860;1.039,84000;718,87680;597,59690;669,98940;767,35780;489,85270;455,03340
488;2,79556;9,79943;7,11621;9,17802;44,55883;20,57425;20,54827;5,66360
489;1,55218;10,01146;39,51780;2,91868;1,54694;14,50943;1,51559;15,75600
490;33,54723;8,65175;27,43347;67,24244;37,59072;37,95075;10,67054;5,89500
491;34,29047;121,41740;330,11010;244,93400;298,69130;256,97390;655,50040;826,34970
492;20,07108;10,30437;17,14039;12,56880;2,05053;2,28738;3,59382;1,43547
493;1.743,85300;1.833,43700;755,30600;812,74720;1.366,07100;1.249,06700;663,03390;808,72560
494;950,87190;854,32700;711,87850;672,76540;1.343,30200;1.342,26400;992,97980;770,63330
495;726,75540;936,80870;547,86400;726,59060;2.089,07000;1.830,99800;726,81640;757,87920
496;292,64090;292,90720;364,71160;435,03530;24,93617;35,60652;102,25040;107,87820
497;25.345,08000;26.869,06000;20.197,50000;25.413,63000;54,28506;34,38922;80,21880;64,71857
498;31,07080;38,55084;58,34526;68,16351;8,41188;9,22810;50,98813;33,65955
499;84,98148;90,00099;136,50900;105,59030;515,13640;515,92070;411,15220;381,15290
500;30,02277;16,40321;5,12364;67,60287;42,17809;36,84412;13,11877;25,81211
